time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.5,1,0.585957,-0.187396,-3,31.2504,0,0.135335
0.5,2,0.584454,-0.905895,-3,28.3764,0,0.135335
0.5,3,0.679511,-0.447029,-3.5,30.2119,0,0.135335
3,1,0.999791,0.0463008,-5,32.1852,13020.6,0.135335
3,2,-0.747715,-0.809569,3.5,28.7617,10818.9,0.135335
3,3,0.612824,0.355818,-3,33.4233,9616.62,0.135335
5.5,1,0.997779,0.999729,-5,35.9989,12389.1,0.135335
5.5,2,-0.556199,-0.225214,3,31.0991,8712.67,0.135335
5.5,3,-0.387,-0.330056,2,30.6798,8478.66,0.135335
8,1,0.992869,0.996735,-5,35.9869,14454.1,0.135335
8,2,-0.863316,-0.764062,4.5,28.9438,6661.04,0.135335
8,3,0.436512,-0.671387,-2,29.3145,8413.78,0.135335
10.5,1,0.999617,0.997928,-5,35.9917,12606,0.135335
10.5,2,-0.333813,-0.95229,1.5,28.1908,7160.67,0.135335
10.5,3,0.560994,-0.972115,-3,28.1115,8507.06,0.135335
13,1,0.981825,0.962447,-5,35.8498,13781.4,0.135335
13,2,-0.958046,-0.878296,5,28.4868,9659.12,0.135335
13,3,0.942318,-0.96495,-4.5,28.1402,7697.63,0.135335
15.5,1,0.817498,0.993298,-4,35.9732,12944.8,0.135335
15.5,2,-0.415181,0.708858,2,34.8354,7193.26,0.135335
15.5,3,0.963943,-0.843647,-5,28.6254,6004.61,0.135335
18,1,0.906877,0.999392,-4.5,35.9976,11940.1,0.135335
18,2,-0.744472,-0.859044,3.5,28.5638,9375.6,0.135335
18,3,0.988178,-0.730105,-5,29.0796,6378.69,0.135335
20.5,1,0.999909,0.987646,-5,35.9506,11360.1,0.135335
20.5,2,-0.856385,0.735933,4.5,34.9437,7748.3,0.135335
20.5,3,0.424182,-0.921855,-2,28.3126,8248.11,0.135335
23,1,0.9981,0.99741,-5,35.9896,11385.5,0.135335
23,2,-0.640995,-0.80998,3,28.7601,6004.37,0.135335
23,3,0.947269,-0.958112,-4.5,28.1676,6469.94,0.135335
25.5,1,0.998426,0.901842,-5,35.6074,11785.2,0.135335
25.5,2,-0.0436204,-0.772932,-0,28.9083,5574.06,0.135335
25.5,3,0.90296,-0.874471,-4.5,28.5021,8142.69,0.135335
28,1,0.999493,0.991762,-5,35.967,11062,0.135335
28,2,-0.655917,-0.97127,3.5,28.1149,9618.24,0.135335
28,3,0.374354,-0.677411,-2,29.2904,7108.61,0.135335
30.5,1,0.971287,0.998829,-5,35.9953,11496.9,0.135335
30.5,2,-0.090791,-0.211431,0.5,31.1543,7473.62,0.135335
30.5,3,0.9791,-0.27476,-5,30.901,5993.89,0.135335
33,1,0.990154,0.999408,-5,35.9976,11214.7,0.135335
33,2,-0.930034,0.239224,4.5,32.9569,8920.94,0.135335
33,3,0.971636,-0.95967,-5,28.1613,9038.58,0.135335
35.5,1,0.999943,0.937698,-5,35.7508,11537.9,0.135335
35.5,2,0.316933,0.498944,-1.5,33.9958,5109.01,0.135335
35.5,3,0.8857,-0.95554,-4.5,28.1778,9595.65,0.135335
38,1,0.999149,0.984332,-5,35.9373,10992.2,0.135335
38,2,0.675856,-0.514965,-3.5,29.9401,8137.41,0.135335
38,3,-0.271875,0.367917,1.5,33.4717,9094.77,0.135335
40.5,1,0.853486,0.996528,-4.5,35.9861,11965.6,0.135335
40.5,2,0.0731236,0.30441,-0.5,33.2176,5904.46,0.135335
40.5,3,0.894217,-0.957295,-4.5,28.1708,8697.55,0.135335
43,1,0.999734,0.927719,-5,35.7109,9705.2,0.135335
43,2,-0.170479,-0.0374768,1,31.8501,7989.02,0.135335
43,3,0.740002,-0.983756,-3.5,28.065,11494,0.135335
45.5,1,0.487767,0.980337,-2.5,35.9213,10210.7,0.135335
45.5,2,0.34608,-0.0247334,-1.5,31.9011,5028.35,0.135335
45.5,3,0.944676,-0.991161,-4.5,28.0354,10572.4,0.135335
48,1,0.998062,0.956537,-5,35.8261,10918.1,0.135335
48,2,0.743757,-0.348781,-3.5,30.6049,6278.35,0.135335
48,3,0.86384,-0.184935,-4.5,31.2603,9969.65,0.135335
50.5,1,0.938302,0.965612,-4.5,35.8624,11060,0.135335
50.5,2,-0.504174,-0.471704,2.5,30.1132,6875.97,0.135335
50.5,3,0.796393,-0.363196,-4,30.5472,8994.21,0.135335
53,1,0.974054,0.983274,-5,35.9331,12678,0.135335
53,2,0.821413,-0.711503,-4,29.154,8562.35,0.135335
53,3,0.311377,-0.203515,-1.5,31.1859,8336.72,0.135335
55.5,1,0.989237,0.99105,-5,35.9642,11599.4,0.135335
55.5,2,-0.885351,-0.993125,4.5,28.0275,9066.58,0.135335
55.5,3,0.944588,-0.906335,-4.5,28.3747,8028.37,0.135335
58,1,-0.508518,0.99974,2.5,35.999,12814.6,0.135335
58,2,-0.715822,-0.751348,3.5,28.9946,9406.94,0.135335
58,3,-0.038031,-0.916284,-0,28.3349,8016.75,0.135335
2,1,0.904324,0.965657,-4.5,35.8626,14540,0.135335
2,2,0.524074,-0.792091,-2.5,28.8316,8358.14,0.135335
2,3,0.800026,-0.936609,-4,28.2536,9065.46,0.135335
4.5,1,0.997456,0.939155,-5,35.7566,12346,0.135335
4.5,2,-0.957599,-0.963018,5,28.1479,11069.7,0.135335
4.5,3,0.980858,0.256853,-5,33.0274,9133.02,0.135335
7,1,0.99876,0.998773,-5,35.9951,13192,0.135335
7,2,-0.977077,0.534502,5,34.138,9681.92,0.135335
7,3,0.996262,-0.685662,-5,29.2574,8374.7,0.135335
9.5,1,0.859982,0.999765,-4.5,35.9991,14602.3,0.135335
9.5,2,0.784399,-0.67113,-4,29.3155,8635.42,0.135335
9.5,3,0.9847,-0.987551,-5,28.0498,7666.64,0.135335
12,1,0.993863,0.992144,-5,35.9686,13358.6,0.135335
12,2,-0.835515,0.364156,4,33.4566,9799.76,0.135335
12,3,0.634191,-0.797648,-3,28.8094,7122.59,0.135335
14.5,1,0.996399,0.643042,-5,34.5722,14335.4,0.135335
14.5,2,-0.973967,-0.838786,5,28.6449,6873.74,0.135335
14.5,3,0.804321,-0.69625,-4,29.215,10843.5,0.135335
17,1,0.999894,0.989926,-5,35.9597,13072.4,0.135335
17,2,-0.546431,-0.993684,2.5,28.0253,7344,0.135335
17,3,0.976509,-0.969918,-5,28.1203,6051.81,0.135335
19.5,1,0.96906,0.999998,-5,36,11532,0.135335
19.5,2,-0.147031,-0.0232523,0.5,31.907,9117.54,0.135335
19.5,3,0.859027,-0.0474589,-4.5,31.8102,5448.85,0.135335
22,1,0.924499,0.891474,-4.5,35.5659,13474.1,0.135335
22,2,-0.957749,-0.64726,5,29.411,7661.57,0.135335
22,3,0.778228,0.296776,-4,33.1871,6441.02,0.135335
24.5,1,0.99969,0.628264,-5,34.5131,13539.2,0.135335
24.5,2,0.489624,-0.687742,-2.5,29.249,7006.34,0.135335
24.5,3,0.983509,-0.944028,-5,28.2239,7315.04,0.135335
27,1,0.998174,0.958186,-5,35.8327,12313.6,0.135335
27,2,-0.909957,0.765675,4.5,35.0627,6823.38,0.135335
27,3,0.978208,-0.796919,-5,28.8123,6144.85,0.135335
29.5,1,0.998302,0.691113,-5,34.7645,9263.49,0.135335
29.5,2,-0.843786,-0.619877,4,29.5205,7613.47,0.135335
29.5,3,0.91824,-0.998354,-4.5,28.0066,8256.29,0.135335
32,1,0.992086,0.998825,-5,35.9953,10617.9,0.135335
32,2,0.480263,-0.546627,-2.5,29.8135,8123.82,0.135335
32,3,0.770901,-0.245319,-4,31.0187,7721.46,0.135335
34.5,1,0.998605,-0.295014,-5,30.8199,10278.7,0.135335
34.5,2,0.24476,-0.628653,-1,29.4854,7347.97,0.135335
